"DWV","DW","round","Dogs.with.collars","Dogs.without.collars","month_vax","year_vax","Dogs_vax"
"lindirural_mnolela_ruhokwe","lindirural_mnolela",4,2,0,69,2015,15
"lindirural_mnolela_ruhokwe","lindirural_mnolela",5,8,8,83,2016,9
"lindirural_mnolela_simana","lindirural_mnolela",3,6,2,54,2014,17
"lindirural_mnolela_simana","lindirural_mnolela",4,1,1,69,2015,9
"lindirural_mnolela_simana","lindirural_mnolela",5,15,9,83,2016,30
"lindirural_mnolela_zingatia","lindirural_mnolela",3,1,2,54,2014,9
"lindirural_mnolela_zingatia","lindirural_mnolela",4,1,1,69,2015,2
"lindirural_mnolela_zingatia","lindirural_mnolela",5,1,2,83,2016,1
"lindirural_mtama_makonde","lindirural_mtama",3,6,7,NA,NA,NA
"lindirural_mtama_makonde","lindirural_mtama",4,2,2,69,2015,2
"lindirural_mtama_makonde","lindirural_mtama",5,4,3,83,2016,15
"lindirural_mtama_mihogoni","lindirural_mtama",3,0,1,NA,NA,NA
"lindirural_mtama_mihogoni","lindirural_mtama",4,3,1,69,2015,6
"lindirural_mtama_mihogoni","lindirural_mtama",5,7,3,83,2016,12
"lindirural_mtama_mpenda","lindirural_mtama",3,3,1,NA,NA,NA
"lindirural_mtama_mpenda","lindirural_mtama",4,2,2,69,2015,2
"lindirural_mtama_mpenda","lindirural_mtama",5,1,1,83,2016,2
"lindirural_mtama_mvuleni","lindirural_mtama",3,0,0,54,2014,2
"lindirural_mtama_mvuleni","lindirural_mtama",4,0,0,69,2015,5
"lindirural_mtama_mvuleni","lindirural_mtama",5,4,1,83,2016,4
"lindirural_mtua_kilimahewaa","lindirural_mtua",3,3,1,54,2014,18
"lindirural_mtua_kilimahewaa","lindirural_mtua",4,6,0,69,2015,6
"lindirural_mtua_kilimahewaa","lindirural_mtua",5,1,1,83,2016,19
"lindirural_mtua_kilimahewab","lindirural_mtua",3,2,0,NA,NA,NA
"lindirural_mtua_kilimahewab","lindirural_mtua",4,4,0,69,2015,3
"lindirural_mtua_kilimahewab","lindirural_mtua",5,2,2,83,2016,5
"lindirural_mtumbya_kilimanjaro","lindirural_mtumbya",3,2,1,54,2014,7
"lindirural_mtumbya_kilimanjaro","lindirural_mtumbya",4,10,5,69,2015,9
"lindirural_mtumbya_kilimanjaro","lindirural_mtumbya",5,3,1,83,2016,12
"lindirural_mtumbya_mtumbya","lindirural_mtumbya",3,13,1,54,2014,16
"lindirural_mtumbya_mtumbya","lindirural_mtumbya",4,11,8,69,2015,43
"lindirural_mtumbya_mtumbya","lindirural_mtumbya",5,10,2,83,2016,24
"lindirural_nachunyu_mmumbu","lindirural_nachunyu",4,2,0,69,2015,7
"lindirural_nachunyu_mmumbu","lindirural_nachunyu",5,1,3,83,2016,2
"lindirural_nachunyu_nachunyu","lindirural_nachunyu",4,3,0,69,2015,24
"lindirural_nachunyu_nachunyu","lindirural_nachunyu",5,5,3,83,2016,65
"lindirural_nahukahuka_linoha","lindirural_nahukahuka",3,9,0,54,2014,19
"lindirural_nahukahuka_linoha","lindirural_nahukahuka",4,0,2,69,2015,4
"lindirural_nahukahuka_linoha","lindirural_nahukahuka",5,1,1,83,2016,5
"lindirural_nahukahuka_lipome","lindirural_nahukahuka",3,0,13,NA,NA,NA
"lindirural_nahukahuka_lipome","lindirural_nahukahuka",4,3,0,69,2015,10
"lindirural_nahukahuka_lipome","lindirural_nahukahuka",5,0,1,83,2016,4
"lindirural_nahukahuka_mbawala","lindirural_nahukahuka",3,0,0,54,2014,4
"lindirural_nahukahuka_mbawala","lindirural_nahukahuka",4,2,0,69,2015,4
"lindirural_nahukahuka_mbawala","lindirural_nahukahuka",5,0,0,83,2016,9
"lindirural_nahukahuka_nahukahuka","lindirural_nahukahuka",3,5,1,54,2014,34
"lindirural_nahukahuka_nahukahuka","lindirural_nahukahuka",4,3,5,69,2015,20
"lindirural_nahukahuka_nahukahuka","lindirural_nahukahuka",5,6,10,83,2016,25
"lindirural_nahukahuka_nahukahukab","lindirural_nahukahuka",3,15,12,NA,NA,NA
"lindirural_nahukahuka_nahukahukab","lindirural_nahukahuka",5,2,2,83,2016,8
"lindirural_namangale_chiwelele","lindirural_namangale",4,5,3,69,2015,6
"lindirural_namangale_chiwelele","lindirural_namangale",5,7,0,83,2016,7
"lindirural_namangale_mawilo","lindirural_namangale",4,0,0,NA,NA,NA
"lindirural_namangale_mawilo","lindirural_namangale",5,5,0,83,2016,24
"lindirural_namangale_namangale","lindirural_namangale",4,16,10,69,2015,64
"lindirural_namangale_namangale","lindirural_namangale",5,14,2,83,2016,12
"lindirural_namangale_namangaleb","lindirural_namangale",4,6,4,69,2015,21
"lindirural_namangale_namangaleb","lindirural_namangale",5,7,1,83,2016,12
"lindirural_namupa_mihima","lindirural_namupa",3,3,1,54,2014,8
"lindirural_namupa_mihima","lindirural_namupa",4,3,0,69,2015,25
"lindirural_namupa_mihima","lindirural_namupa",5,3,0,83,2016,8
"lindirural_namupa_mnamba","lindirural_namupa",4,0,0,NA,NA,NA
"lindirural_namupa_mnamba","lindirural_namupa",5,0,0,NA,NA,NA
"lindirural_namupa_mndawa","lindirural_namupa",4,0,0,69,2015,4
"lindirural_namupa_mndawa","lindirural_namupa",5,0,0,NA,NA,NA
"lindirural_namupa_muunganoii","lindirural_namupa",4,0,0,69,2015,22
"lindirural_namupa_muunganoii","lindirural_namupa",5,5,0,83,2016,21
"lindirural_namupa_namupa","lindirural_namupa",4,9,2,69,2015,24
"lindirural_namupa_namupa","lindirural_namupa",5,33,0,83,2016,42
"lindirural_nangaru_makumba","lindirural_nangaru",4,7,2,69,2015,34
"lindirural_nangaru_makumba","lindirural_nangaru",5,8,2,83,2016,16
"lindirural_nangaru_mkombamosi","lindirural_nangaru",4,5,4,69,2015,13
"lindirural_nangaru_mkombamosi","lindirural_nangaru",5,8,4,83,2016,12
"lindirural_nangaru_muungano","lindirural_nangaru",4,0,3,69,2015,10
"lindirural_nangaru_muungano","lindirural_nangaru",5,0,9,83,2016,13
"lindirural_navanga_mongomongo","lindirural_navanga",4,2,0,69,2015,2
"lindirural_navanga_mongomongo","lindirural_navanga",5,0,1,NA,NA,NA
"lindirural_navanga_nampunga","lindirural_navanga",3,3,2,NA,NA,NA
"lindirural_navanga_nampunga","lindirural_navanga",4,4,0,69,2015,5
"lindirural_navanga_navanga","lindirural_navanga",3,9,6,54,2014,26
"lindirural_navanga_navanga","lindirural_navanga",4,2,2,69,2015,8
"lindirural_navanga_navanga","lindirural_navanga",5,0,3,83,2016,3
"lindirural_navanga_shuka","lindirural_navanga",4,0,0,69,2015,4
"lindirural_navanga_shuka","lindirural_navanga",5,3,3,NA,NA,NA
"lindirural_nyangamara_liputi","lindirural_nyangamara",3,17,17,54,2014,19
"lindirural_nyangamara_liputi","lindirural_nyangamara",4,3,3,69,2015,7
"lindirural_nyangamara_liputi","lindirural_nyangamara",5,7,18,83,2016,7
"lindirural_nyangamara_madingo","lindirural_nyangamara",3,4,24,54,2014,11
"lindirural_nyangamara_madingo","lindirural_nyangamara",4,0,4,69,2015,11
"lindirural_nyangamara_madingo","lindirural_nyangamara",5,1,6,83,2016,10
"lindirural_nyangamara_nyangamaraa","lindirural_nyangamara",3,9,15,54,2014,15
"lindirural_nyangamara_nyangamaraa","lindirural_nyangamara",4,0,3,69,2015,7
"lindirural_nyangamara_nyangamaraa","lindirural_nyangamara",5,2,9,83,2016,12
"lindirural_nyangamara_nyangamarab","lindirural_nyangamara",3,5,13,54,2014,11
"lindirural_nyangamara_nyangamarab","lindirural_nyangamara",4,4,3,69,2015,15
"lindirural_nyangamara_nyangamarab","lindirural_nyangamara",5,3,7,83,2016,10
"lindirural_nyangamara_utimbe","lindirural_nyangamara",3,23,3,54,2014,25
"lindirural_nyangamara_utimbe","lindirural_nyangamara",4,0,4,69,2015,1
"lindirural_nyangao_mahiwa","lindirural_nyangao",3,6,4,54,2014,39
"lindirural_nyangao_mahiwa","lindirural_nyangao",4,12,6,69,2015,52
"lindirural_nyangao_mahiwa","lindirural_nyangao",5,12,5,83,2016,29
"lindirural_nyangao_mtakujaii","lindirural_nyangao",3,2,1,54,2014,5
"lindirural_nyangao_mtakujaii","lindirural_nyangao",4,8,3,69,2015,9
"lindirural_nyangao_mtakujaii","lindirural_nyangao",5,2,1,83,2016,12
"lindirural_nyangao_nyangaoa","lindirural_nyangao",3,8,5,54,2014,18
"lindirural_nyangao_nyangaoa","lindirural_nyangao",4,10,5,69,2015,26
"lindirural_nyangao_nyangaoa","lindirural_nyangao",5,7,6,83,2016,16
"lindirural_nyangao_nyangaob","lindirural_nyangao",3,8,2,54,2014,24
"lindirural_nyangao_nyangaob","lindirural_nyangao",4,8,4,69,2015,28
"lindirural_nyangao_nyangaob","lindirural_nyangao",5,5,4,83,2016,23
"lindirural_nyengedi_luwale","lindirural_nyengedi",4,4,3,69,2015,11
"lindirural_nyengedi_luwale","lindirural_nyengedi",5,3,0,83,2016,11
"lindirural_nyengedi_nyengedi","lindirural_nyengedi",4,6,3,69,2015,23
"lindirural_nyengedi_nyengedi","lindirural_nyengedi",5,3,2,83,2016,16
"lindirural_nyengedi_nyengedib","lindirural_nyengedi",4,4,0,69,2015,37
"lindirural_nyengedi_nyengedib","lindirural_nyengedi",5,6,1,83,2016,15
"lindirural_pangatena_hingawali","lindirural_pangatena",3,3,7,NA,NA,NA
"lindirural_pangatena_hingawali","lindirural_pangatena",4,7,6,69,2015,9
"lindirural_pangatena_hingawali","lindirural_pangatena",5,4,0,83,2016,12
"lindirural_pangatena_njonjo","lindirural_pangatena",3,11,0,NA,NA,NA
"lindirural_pangatena_njonjo","lindirural_pangatena",4,0,0,69,2015,15
"lindirural_pangatena_njonjo","lindirural_pangatena",5,3,2,83,2016,10
"lindirural_pangatena_pangatena","lindirural_pangatena",3,5,6,NA,NA,NA
"lindirural_pangatena_pangatena","lindirural_pangatena",4,2,3,69,2015,4
"lindirural_pangatena_pangatena","lindirural_pangatena",5,1,1,83,2016,1
"lindirural_rutamba_chilala","lindirural_rutamba",4,2,3,69,2015,7
"lindirural_rutamba_chilala","lindirural_rutamba",5,4,5,83,2016,16
"lindirural_rutamba_kinyope","lindirural_rutamba",3,7,20,NA,NA,NA
"lindirural_rutamba_kinyope","lindirural_rutamba",4,3,5,69,2015,31
"lindirural_rutamba_makangara","lindirural_rutamba",4,3,2,69,2015,4
"lindirural_rutamba_makangara","lindirural_rutamba",5,1,2,83,2016,12
"lindirural_rutamba_michee","lindirural_rutamba",4,2,2,69,2015,6
"lindirural_rutamba_ruhoma","lindirural_rutamba",4,2,2,69,2015,7
"lindirural_rutamba_ruhoma","lindirural_rutamba",5,0,6,NA,NA,NA
"lindirural_rutamba_rutambayasasa","lindirural_rutamba",3,2,0,NA,NA,NA
"lindirural_rutamba_rutambayasasa","lindirural_rutamba",4,0,2,69,2015,3
"lindirural_rutamba_rutambayasasa","lindirural_rutamba",5,2,3,83,2016,11
"lindirural_rutamba_rutambayazamani","lindirural_rutamba",3,7,2,NA,NA,NA
"lindirural_rutamba_rutambayazamani","lindirural_rutamba",4,3,5,69,2015,16
"lindirural_rutamba_rutambayazamani","lindirural_rutamba",5,1,5,83,2016,15
"lindirural_sudi_kilimani","lindirural_sudi",3,4,3,NA,NA,NA
"lindirural_sudi_kilimani","lindirural_sudi",4,6,2,69,2015,24
"lindirural_sudi_kilimani","lindirural_sudi",5,2,1,83,2016,28
"lindirural_sudi_madangwa","lindirural_sudi",4,2,0,69,2015,7
"lindirural_sudi_madangwa","lindirural_sudi",5,1,1,83,2016,14
"lindirural_sudi_mtegu","lindirural_sudi",3,3,7,54,2014,11
"lindirural_sudi_mtegu","lindirural_sudi",4,3,2,69,2015,7
"lindirural_sudi_mtegu","lindirural_sudi",5,3,0,83,2016,18
"lindirural_sudi_sudi","lindirural_sudi",5,0,0,NA,NA,NA
"lindiurban_chikonji_chikonji","lindiurban_chikonji",3,3,5,54,2014,3
"lindiurban_chikonji_chikonji","lindiurban_chikonji",5,4,2,83,2016,22
"lindiurban_chikonji_chikonjikaskazini","lindiurban_chikonji",5,0,0,NA,NA,NA
"lindiurban_chikonji_jangwani","lindiurban_chikonji",4,8,1,69,2015,22
"lindiurban_chikonji_jangwani","lindiurban_chikonji",5,0,0,83,2016,16
"lindiurban_chikonji_nanyanje","lindiurban_chikonji",5,0,0,83,2016,21
"lindiurban_jamhuri_kiduni","lindiurban_jamhuri",3,9,3,54,2014,24
"lindiurban_jamhuri_kiduni","lindiurban_jamhuri",4,3,1,69,2015,30
"lindiurban_jamhuri_kiduni","lindiurban_jamhuri",5,0,0,83,2016,9
"lindiurban_jamhuri_mitumbati","lindiurban_jamhuri",3,9,2,54,2014,16
"lindiurban_jamhuri_mlandege","lindiurban_jamhuri",3,6,0,54,2014,19
"lindiurban_jamhuri_mtange","lindiurban_jamhuri",3,3,0,54,2014,13
"lindiurban_jamhuri_mtange","lindiurban_jamhuri",5,0,0,83,2016,6
"lindiurban_jamhuri_tankini","lindiurban_jamhuri",3,3,1,54,2014,7
"lindiurban_jamhuri_tankini","lindiurban_jamhuri",4,6,0,69,2015,6
"lindiurban_jamhuri_tulieni","lindiurban_jamhuri",3,6,2,54,2014,21
"lindiurban_makonde_amani","lindiurban_makonde",4,1,1,69,2015,2
"lindiurban_makonde_shekhebadi","lindiurban_makonde",3,0,1,NA,NA,NA
"lindiurban_makonde_shekhebadi","lindiurban_makonde",5,0,0,NA,NA,NA
"lindiurban_matopeni_kawawa","lindiurban_matopeni",5,0,0,NA,NA,NA
"lindiurban_matopeni_mtulenib","lindiurban_matopeni",3,0,2,54,2014,6
"lindiurban_matopeni_mtulenib","lindiurban_matopeni",4,8,3,69,2015,1
"lindiurban_mbanja_kikwetu","lindiurban_mbanja",5,0,0,83,2016,23
"lindiurban_mbanja_likongo","lindiurban_mbanja",3,6,3,54,2014,20
"lindiurban_mbanja_likongo","lindiurban_mbanja",5,0,0,83,2016,22
"lindiurban_mbanja_mbanja","lindiurban_mbanja",4,16,18,69,2015,26
"lindiurban_mbanja_mbanja","lindiurban_mbanja",5,1,1,83,2016,17
"lindiurban_mikumbi_mikumbimagharibi","lindiurban_mikumbi",4,1,1,NA,NA,NA
"lindiurban_mikumbi_mikumbimagharibi","lindiurban_mikumbi",5,0,0,NA,NA,NA
"lindiurban_mikumbi_uganda","lindiurban_mikumbi",3,0,0,54,2014,5
"lindiurban_mikumbi_uganda","lindiurban_mikumbi",5,1,3,83,2016,4
"lindiurban_mingoyo_mawasiliano","lindiurban_mingoyo",3,7,8,54,2014,14
"lindiurban_mingoyo_mawasiliano","lindiurban_mingoyo",4,14,3,69,2015,63
"lindiurban_mingoyo_mawasiliano","lindiurban_mingoyo",5,0,0,83,2016,33
"lindiurban_mingoyo_mingoyo","lindiurban_mingoyo",3,2,1,54,2014,9
"lindiurban_mingoyo_mingoyo","lindiurban_mingoyo",4,3,3,69,2015,10
"lindiurban_mingoyo_mingoyo","lindiurban_mingoyo",5,0,0,NA,NA,NA
"lindiurban_mingoyo_mkwaya","lindiurban_mingoyo",3,6,22,54,2014,14
"lindiurban_mingoyo_mkwaya","lindiurban_mingoyo",4,14,5,69,2015,8
"lindiurban_mingoyo_mnazimmoja","lindiurban_mingoyo",3,10,5,54,2014,27
"lindiurban_mingoyo_mnazimmoja","lindiurban_mingoyo",4,29,8,69,2015,16
"lindiurban_mingoyo_mnazimmoja","lindiurban_mingoyo",5,0,0,83,2016,9
"lindiurban_mingoyo_ruaha","lindiurban_mingoyo",3,9,23,54,2014,18
"lindiurban_mingoyo_ruaha","lindiurban_mingoyo",5,0,0,83,2016,37
"lindiurban_mitandi_idahoti","lindiurban_mitandi",5,0,0,NA,NA,NA
"lindiurban_mitandi_jafupembe","lindiurban_mitandi",3,0,1,54,2014,3
"lindiurban_mitandi_jafupembe","lindiurban_mitandi",4,0,0,69,2015,2
"lindiurban_mitandi_maisara","lindiurban_mitandi",4,0,0,NA,NA,NA
"lindiurban_mitandi_maisara","lindiurban_mitandi",5,0,0,NA,NA,NA
"lindiurban_mitandi_manispaa","lindiurban_mitandi",4,1,1,NA,NA,NA
"lindiurban_mitandi_manispaa","lindiurban_mitandi",5,0,0,NA,NA,NA
"lindiurban_mitandi_mnubi","lindiurban_mitandi",5,0,0,NA,NA,NA
"lindiurban_mitandi_navetaveta","lindiurban_mitandi",4,0,0,NA,NA,NA
"lindiurban_mitandi_navetaveta","lindiurban_mitandi",5,0,0,NA,NA,NA
"lindiurban_msinjahili_kitunda","lindiurban_msinjahili",3,16,2,54,2014,25
"lindiurban_msinjahili_msonobarijuu","lindiurban_msinjahili",4,8,0,69,2015,7
"lindiurban_mtanda_mchochoro","lindiurban_mtanda",3,6,1,54,2014,34
"lindiurban_mtanda_mtandachini","lindiurban_mtanda",4,3,2,69,2015,28
"lindiurban_mtanda_mtandajuu","lindiurban_mtanda",4,5,0,69,2015,38
"lindiurban_mtanda_mtandajuu","lindiurban_mtanda",5,2,0,83,2016,42
"lindiurban_mtanda_mukule","lindiurban_mtanda",3,2,1,54,2014,29
"lindiurban_mtanda_mukule","lindiurban_mtanda",4,9,2,69,2015,6
"lindiurban_mtanda_nanembo","lindiurban_mtanda",3,7,0,54,2014,18
"lindiurban_mtanda_nanembo","lindiurban_mtanda",5,4,2,83,2016,35
"lindiurban_mwenge_kilimahewa","lindiurban_mwenge",3,0,2,NA,NA,NA
"lindiurban_mwenge_magogoni","lindiurban_mwenge",4,13,11,69,2015,3
"lindiurban_mwenge_magogoni","lindiurban_mwenge",5,4,6,83,2016,5
"lindiurban_mwenge_nationalhousing","lindiurban_mwenge",5,2,1,83,2016,3
"lindiurban_nachingwea_mpilipilikusini","lindiurban_nachingwea",5,0,0,NA,NA,NA
"lindiurban_nachingwea_nachingwea","lindiurban_nachingwea",3,6,3,54,2014,34
"lindiurban_nachingwea_nachingwea","lindiurban_nachingwea",4,16,7,69,2015,24
"lindiurban_nachingwea_nachingwea","lindiurban_nachingwea",5,1,1,83,2016,13
"lindiurban_ndoro_ndorokaskazini","lindiurban_ndoro",5,0,0,NA,NA,NA
"lindiurban_ngapa_mbuyuni","lindiurban_ngapa",3,8,0,54,2014,48
"lindiurban_ngapa_mbuyuni","lindiurban_ngapa",4,25,8,69,2015,66
"lindiurban_ngapa_ngapangapa","lindiurban_ngapa",3,12,10,54,2014,41
"lindiurban_rahaleo_majengo","lindiurban_rahaleo",5,0,0,NA,NA,NA
"lindiurban_rahaleo_mchingaroad","lindiurban_rahaleo",5,0,0,NA,NA,NA
"lindiurban_rahaleo_rahaleo","lindiurban_rahaleo",5,0,0,83,2016,1
"lindiurban_rahaleo_ufukweni","lindiurban_rahaleo",5,0,0,NA,NA,NA
"lindiurban_rasbura_kariakoo","lindiurban_rasbura",4,13,5,69,2015,8
"lindiurban_rasbura_kariakoo","lindiurban_rasbura",5,3,1,83,2016,4
"lindiurban_rasbura_likotwa","lindiurban_rasbura",3,11,3,54,2014,19
"lindiurban_rasbura_likotwa","lindiurban_rasbura",5,0,0,NA,NA,NA
"lindiurban_rasbura_mabano","lindiurban_rasbura",5,0,0,NA,NA,NA
"lindiurban_rasbura_mitema","lindiurban_rasbura",5,0,0,83,2016,63
"lindiurban_rasbura_mitwero","lindiurban_rasbura",5,0,1,83,2016,21
"lindiurban_tandangongoro_nandambi","lindiurban_tandangongoro",3,12,2,54,2014,14
"lindiurban_tandangongoro_nandambi","lindiurban_tandangongoro",4,5,2,69,2015,8
"lindiurban_tandangongoro_narunyu","lindiurban_tandangongoro",3,5,0,54,2014,16
"lindiurban_tandangongoro_narunyu","lindiurban_tandangongoro",5,5,3,83,2016,17
"lindiurban_tandangongoro_tandangongoro","lindiurban_tandangongoro",3,18,3,54,2014,25
"lindiurban_tandangongoro_tandangongoro","lindiurban_tandangongoro",4,6,2,69,2015,26
"lindiurban_wailes_angaza","lindiurban_wailes",3,2,4,54,2014,11
"liwale_barikiwa_barikiwa","liwale_barikiwa",3,2,8,55,2014,18
"liwale_barikiwa_barikiwa","liwale_barikiwa",4,2,0,69,2015,7
"liwale_barikiwa_barikiwa","liwale_barikiwa",5,8,2,83,2016,12
"liwale_barikiwa_chimbuko","liwale_barikiwa",3,1,5,55,2014,6
"liwale_barikiwa_chimbuko","liwale_barikiwa",4,2,0,69,2015,4
"liwale_barikiwa_chimbuko","liwale_barikiwa",5,0,3,83,2016,6
"liwale_barikiwa_ndunyungu","liwale_barikiwa",3,2,4,55,2014,21
"liwale_barikiwa_ndunyungu","liwale_barikiwa",4,2,1,69,2015,13
"liwale_barikiwa_ndunyungu","liwale_barikiwa",5,3,1,83,2016,7
"liwale_kiangara_kiangara","liwale_kiangara",3,10,4,55,2014,4
"liwale_kiangara_kiangara","liwale_kiangara",4,6,2,69,2015,9
"liwale_kiangara_kiangara","liwale_kiangara",5,17,8,83,2016,20
"liwale_kiangara_kitogoro","liwale_kiangara",3,7,12,55,2014,27
"liwale_kiangara_kitogoro","liwale_kiangara",4,0,4,69,2015,10
"liwale_kiangara_litoo","liwale_kiangara",3,8,0,NA,NA,NA
"liwale_kiangara_litoo","liwale_kiangara",4,3,3,69,2015,16
"liwale_kiangara_mtawatawa","liwale_kiangara",3,2,2,55,2014,6
"liwale_kiangara_mtawatawa","liwale_kiangara",4,3,0,69,2015,9
"liwale_kibutuka_kibutuka","liwale_kibutuka",3,7,9,55,2014,9
"liwale_kibutuka_kibutuka","liwale_kibutuka",4,9,5,69,2015,25
"liwale_kibutuka_kibutuka","liwale_kibutuka",5,19,7,83,2016,34
"liwale_kibutuka_ngumbu","liwale_kibutuka",3,5,15,55,2014,22
"liwale_kibutuka_ngumbu","liwale_kibutuka",4,6,4,69,2015,32
"liwale_kibutuka_ngumbu","liwale_kibutuka",5,15,7,83,2016,17
"liwale_kichonda_kichonda","liwale_kichonda",3,0,7,55,2014,20
"liwale_kichonda_kichonda","liwale_kichonda",4,6,2,69,2015,6
"liwale_kichonda_mbuli","liwale_kichonda",3,0,2,55,2014,4
"liwale_kichonda_mbuli","liwale_kichonda",4,3,2,69,2015,4
"liwale_kichonda_mbuli","liwale_kichonda",5,4,0,83,2016,6
"liwale_kichonda_nyera","liwale_kichonda",3,0,0,55,2014,9
"liwale_kichonda_nyera","liwale_kichonda",4,5,0,69,2015,10
"liwale_kichonda_nyera","liwale_kichonda",5,3,1,83,2016,4
"liwale_kimambi_kimambi","liwale_kimambi",3,0,1,55,2014,1
"liwale_kimambi_kimambi","liwale_kimambi",4,5,3,69,2015,5
"liwale_kimambi_kimambi","liwale_kimambi",5,6,0,83,2016,7
"liwale_likongowele_kuchocholokana","liwale_likongowele",3,4,3,55,2014,7
"liwale_likongowele_kuchocholokana","liwale_likongowele",4,1,3,69,2015,3
"liwale_likongowele_kuchocholokana","liwale_likongowele",5,0,0,NA,NA,NA
"liwale_likongowele_likongowele","liwale_likongowele",3,2,4,55,2014,5
"liwale_likongowele_likongowele","liwale_likongowele",4,0,2,69,2015,1
"liwale_likongowele_likongowele","liwale_likongowele",5,3,5,83,2016,28
"liwale_likongowele_nyangaga","liwale_likongowele",4,0,0,69,2015,7
"liwale_likongowele_nyangaga","liwale_likongowele",5,0,0,83,2016,8
"liwale_likongowele_uliya","liwale_likongowele",3,1,2,55,2014,2
"liwale_likongowele_uliya","liwale_likongowele",4,6,4,69,2015,26
"liwale_lilombe_chigugu","liwale_lilombe",3,3,9,55,2014,12
"liwale_lilombe_chigugu","liwale_lilombe",4,5,4,69,2015,5
"liwale_lilombe_chigugu","liwale_lilombe",5,0,0,NA,NA,NA
"liwale_lilombe_lilombe","liwale_lilombe",3,3,10,55,2014,10
"liwale_lilombe_lilombe","liwale_lilombe",4,5,0,69,2015,14
"liwale_lilombe_lilombe","liwale_lilombe",5,1,0,83,2016,5
"liwale_lilombe_luwele","liwale_lilombe",3,3,0,NA,NA,NA
"liwale_lilombe_luwele","liwale_lilombe",4,1,3,NA,NA,NA
"liwale_lilombe_luwele","liwale_lilombe",5,2,1,83,2016,5
"liwale_liwaleb_legezamwendo","liwale_liwaleb",3,1,14,55,2014,21
"liwale_liwaleb_legezamwendo","liwale_liwaleb",4,4,6,69,2015,2
"liwale_liwaleb_legezamwendo","liwale_liwaleb",5,0,0,83,2016,1
"liwale_liwaleb_liwaleb","liwale_liwaleb",3,2,25,55,2014,28
"liwale_liwaleb_liwaleb","liwale_liwaleb",4,13,5,69,2015,15
"liwale_liwaleb_liwaleb","liwale_liwaleb",5,0,0,NA,NA,NA
"liwale_liwaleb_mahonga","liwale_liwaleb",3,3,1,55,2014,2
"liwale_liwaleb_mahonga","liwale_liwaleb",4,0,0,69,2015,3
"liwale_liwaleb_mahonga","liwale_liwaleb",5,0,0,83,2016,1
"liwale_liwaleb_mikunya","liwale_liwaleb",3,3,22,55,2014,25
"liwale_liwaleb_mikunya","liwale_liwaleb",4,10,2,69,2015,13
"liwale_liwaleb_mikunya","liwale_liwaleb",5,4,0,83,2016,5
"liwale_liwaleb_nanjegeja","liwale_liwaleb",3,1,3,55,2014,4
"liwale_liwaleb_nanjegeja","liwale_liwaleb",4,0,0,69,2015,8
"liwale_liwaleb_nanjegeja","liwale_liwaleb",5,2,0,83,2016,3
"liwale_liwaleb_tuungane","liwale_liwaleb",3,0,4,55,2014,4
"liwale_liwaleb_tuungane","liwale_liwaleb",4,3,0,69,2015,2
"liwale_liwaleb_tuungane","liwale_liwaleb",5,0,0,83,2016,5
"liwale_liwalemjini_kilipwike","liwale_liwalemjini",3,2,0,NA,NA,NA
"liwale_liwalemjini_kilipwike","liwale_liwalemjini",4,0,0,69,2015,8
"liwale_liwalemjini_kilipwike","liwale_liwalemjini",5,0,0,NA,NA,NA
"liwale_liwalemjini_makonjiganga","liwale_liwalemjini",3,1,3,NA,NA,NA
"liwale_liwalemjini_makonjiganga","liwale_liwalemjini",4,3,4,69,2015,3
"liwale_liwalemjini_makonjiganga","liwale_liwalemjini",5,0,4,NA,NA,NA
"liwale_liwalemjini_mpirani","liwale_liwalemjini",3,4,2,NA,NA,NA
"liwale_liwalemjini_mpirani","liwale_liwalemjini",4,3,2,69,2015,11
"liwale_liwalemjini_mpirani","liwale_liwalemjini",5,1,3,83,2016,1
"liwale_liwalemjini_mungurumo","liwale_liwalemjini",3,2,1,55,2014,1
"liwale_liwalemjini_mungurumo","liwale_liwalemjini",5,4,3,83,2016,5
"liwale_liwalemjini_naluleo","liwale_liwalemjini",3,1,8,55,2014,17
"liwale_liwalemjini_naluleo","liwale_liwalemjini",4,4,1,69,2015,14
"liwale_liwalemjini_naluleo","liwale_liwalemjini",5,0,1,83,2016,9
"liwale_liwalemjini_tepetepe","liwale_liwalemjini",3,1,0,NA,NA,NA
"liwale_liwalemjini_tepetepe","liwale_liwalemjini",4,0,0,69,2015,2
"liwale_liwalemjini_tepetepe","liwale_liwalemjini",5,7,4,83,2016,19
"liwale_makata_kigwema","liwale_makata",3,2,5,55,2014,6
"liwale_makata_kigwema","liwale_makata",4,0,0,NA,NA,NA
"liwale_makata_kigwema","liwale_makata",5,4,0,83,2016,2
"liwale_makata_lubaba","liwale_makata",3,1,7,55,2014,10
"liwale_makata_lubaba","liwale_makata",4,2,0,69,2015,5
"liwale_makata_lubaba","liwale_makata",5,0,0,83,2016,4
"liwale_makata_makata","liwale_makata",3,6,6,55,2014,11
"liwale_makata_makata","liwale_makata",4,2,0,69,2015,8
"liwale_makata_makata","liwale_makata",5,8,2,83,2016,10
"liwale_makata_mitawa","liwale_makata",3,4,9,55,2014,11
"liwale_makata_mitawa","liwale_makata",4,0,3,69,2015,3
"liwale_makata_mitawa","liwale_makata",5,0,2,83,2016,1
"liwale_makata_mkundi","liwale_makata",3,5,3,55,2014,6
