"Correct_Village","Correct_Ward","Correct_District","Correct_Region","dateVaccination","Dogs"
"nachingwea_nangowe_nangowe","Nangowe","Nachingwea","Lindi",2012-06-24,23
"nachingwea_stesheni_stesheni","Stesheni","Nachingwea","Lindi",2012-06-24,39
"ruangwa_chinongwe_chinongweb","Chinongwe","Ruangwa","Lindi",2012-06-24,23
"ruangwa_luchelegwa_luchelegwa","Luchelegwa","Ruangwa","Lindi",2012-06-24,19
"ruangwa_nandagala_nandagalaa","Nandagala","Ruangwa","Lindi",2012-06-24,14
"ruangwa_nandagala_nandagalab","Nandagala","Ruangwa","Lindi",2012-06-24,9
"masasi_mlingula_mlingula","Mlingula","Masasi","Mtwara",2012-06-24,55
"masasi_nanjota_nanjota","Nanjota","Masasi","Mtwara",2012-06-24,160
"masasitownshipauthority_migongo_migongokati","Migongo","Masasi Township Authority","Mtwara",2012-06-24,188
"kilwa_chumo_nahama","Chumo","Kilwa","Lindi",2012-06-25,4
"kilwa_kikole_ruhatwe","Kikole","Kilwa","Lindi",2012-06-25,2
"kilwa_kinjumbi_mtyalambu","Kinjumbi","Kilwa","Lindi",2012-06-25,68
"kilwa_kipatimu_kipatimu","Kipatimu","Kilwa","Lindi",2012-06-25,33
"kilwa_lihimalyao_rushungi","Lihimalyao","Kilwa","Lindi",2012-06-25,18
"kilwa_likawage_liwiti","Likawage","Kilwa","Lindi",2012-06-25,6
"kilwa_mandawa_hotelitatu","Mandawa","Kilwa","Lindi",2012-06-25,6
"kilwa_masoko_mpara","Masoko","Kilwa","Lindi",2012-06-25,9
"kilwa_pandemikoma_namwedo","Pande Mikoma","Kilwa","Lindi",2012-06-25,28
"kilwa_tingi_mtandango","Tingi","Kilwa","Lindi",2012-06-25,18
"lindirural_mipingo_lihimilo","Mipingo","Lindi Rural","Lindi",2012-06-25,3
"lindiurban_mikumbi_uganda","Mikumbi","Lindi Urban","Lindi",2012-06-25,2
"lindiurban_mingoyo_mawasiliano","Mingoyo","Lindi Urban","Lindi",2012-06-25,13
"lindiurban_mingoyo_mingoyo","Mingoyo","Lindi Urban","Lindi",2012-06-25,15
"lindiurban_nachingwea_mpilipilikusini","Nachingwea","Lindi Urban","Lindi",2012-06-25,33
"lindiurban_nachingwea_nachingwea","Nachingwea","Lindi Urban","Lindi",2012-06-25,2
"lindiurban_ngapa_mkupama","Ng'apa","Lindi Urban","Lindi",2012-06-25,38
"lindiurban_rasbura_kariakoo","Rasbura","Lindi Urban","Lindi",2012-06-25,14
"liwale_mihumo_turuki","Mihumo","Liwale","Lindi",2012-06-25,15
"nachingwea_kilimarondo_kilimarondo","Kilima Rondo","Nachingwea","Lindi",2012-06-25,25
"nachingwea_lionja_lionjaa","Lionja","Nachingwea","Lindi",2012-06-25,39
"nachingwea_lionja_lionjab","Lionja","Nachingwea","Lindi",2012-06-25,46
"nachingwea_marambo_ikungu","Marambo","Nachingwea","Lindi",2012-06-25,37
"nachingwea_marambo_marambo","Marambo","Nachingwea","Lindi",2012-06-25,43
"nachingwea_matekwe_matekwe","Matekwe","Nachingwea","Lindi",2012-06-25,14
"nachingwea_mkoka_mkoka","Mkoka","Nachingwea","Lindi",2012-06-25,27
"nachingwea_mtua_kiparamtua","Mtua","Nachingwea","Lindi",2012-06-25,64
"nachingwea_mtua_mtua","Mtua","Nachingwea","Lindi",2012-06-25,83
"nachingwea_mtua_nalengwe","Mtua","Nachingwea","Lindi",2012-06-25,41
"nachingwea_naipingo_naipingo","Naipingo","Nachingwea","Lindi",2012-06-25,75
"nachingwea_naipingo_nangondo","Naipingo","Nachingwea","Lindi",2012-06-25,25
"nachingwea_nambambo_nachingwea","Nambambo","Nachingwea","Lindi",2012-06-25,55
"nachingwea_nambambo_ugawaji","Nambambo","Nachingwea","Lindi",2012-06-25,65
"nachingwea_nangowe_maziwa","Nangowe","Nachingwea","Lindi",2012-06-25,18
"nachingwea_nangowe_mitumbati","Nangowe","Nachingwea","Lindi",2012-06-25,71
"nachingwea_nangowe_mwenge","Nangowe","Nachingwea","Lindi",2012-06-25,34
"nachingwea_nditi_ngangambo","Nditi","Nachingwea","Lindi",2012-06-25,58
"nachingwea_ruponda_nammanga","Ruponda","Nachingwea","Lindi",2012-06-25,50
"nachingwea_stesheni_chiumbatimiembeni","Stesheni","Nachingwea","Lindi",2012-06-25,25
"ruangwa_chinongwe_chinongwea","Chinongwe","Ruangwa","Lindi",2012-06-25,20
"ruangwa_chinongwe_juhudia","Chinongwe","Ruangwa","Lindi",2012-06-25,6
"ruangwa_likunja_kitandi","Likunja","Ruangwa","Lindi",2012-06-25,57
"ruangwa_likunja_mpara","Likunja","Ruangwa","Lindi",2012-06-25,18
"ruangwa_makanjiro_chinokole","Makanjiro","Ruangwa","Lindi",2012-06-25,13
"ruangwa_nandagala_namahemaa","Nandagala","Ruangwa","Lindi",2012-06-25,13
"ruangwa_nkowe_kipindimbi","Nkowe","Ruangwa","Lindi",2012-06-25,15
"ruangwa_nkowe_mpumbe","Nkowe","Ruangwa","Lindi",2012-06-25,2
"masasi_chikolopola_chikolopola","Chikolopola","Masasi","Mtwara",2012-06-25,92
"masasitownshipauthority_jida_mtaawajida","Jida","Masasi Township Authority","Mtwara",2012-06-25,111
"mtwaraurban_naliendele_mkangala","Naliendele","Mtwara Urban","Mtwara",2012-06-25,21
"nanyumbu_mikangaula_changombe","Mikangaula","Nanyumbu","Mtwara",2012-06-25,6
"nanyumbu_mikangaula_kamundi","Mikangaula","Nanyumbu","Mtwara",2012-06-25,21
"nanyumbu_mikangaula_lowasa","Mikangaula","Nanyumbu","Mtwara",2012-06-25,14
"nanyumbu_mkonona_marumba","Mkonona","Nanyumbu","Mtwara",2012-06-25,34
"nanyumbu_napacho_chimika","Napacho","Nanyumbu","Mtwara",2012-06-25,8
"nanyumbu_napacho_kazamoyo","Napacho","Nanyumbu","Mtwara",2012-06-25,13
"nanyumbu_napacho_mburusa","Napacho","Nanyumbu","Mtwara",2012-06-25,40
"nanyumbu_napacho_nakopi","Napacho","Nanyumbu","Mtwara",2012-06-25,23
"tandahimba_kwanyama_mitumbati","Kwanyama","Tandahimba","Mtwara",2012-06-25,2
"tandahimba_luagala_kigamboni","Luagala","Tandahimba","Mtwara",2012-06-25,26
"tandahimba_luagala_luagala","Luagala","Tandahimba","Mtwara",2012-06-25,20
"tandahimba_mdimbamnyoma_mdenga","Mdimba Mnyoma","Tandahimba","Mtwara",2012-06-25,6
"tandahimba_mdumbwe_mndumbwe","Mdumbwe","Tandahimba","Mtwara",2012-06-25,13
"tandahimba_michenjele_michenjele","Michenjele","Tandahimba","Mtwara",2012-06-25,10
"tandahimba_michenjele_mpunda","Michenjele","Tandahimba","Mtwara",2012-06-25,14
"tandahimba_mihambwe_mihambwe","Mihambwe","Tandahimba","Mtwara",2012-06-25,10
"tandahimba_mihambwe_mkaha","Mihambwe","Tandahimba","Mtwara",2012-06-25,15
"tandahimba_milingodi_milingodi","Milingodi","Tandahimba","Mtwara",2012-06-25,16
"tandahimba_milingodi_mtinginda","Milingodi","Tandahimba","Mtwara",2012-06-25,5
"tandahimba_nambahu_mivanga","Nambahu","Tandahimba","Mtwara",2012-06-25,38
"tandahimba_nanhyanga_nanyangaa","Nanhyanga","Tandahimba","Mtwara",2012-06-25,6
"tandahimba_naputa_naputashuleni","Naputa","Tandahimba","Mtwara",2012-06-25,2
"tandahimba_tandahimba_malamba","Tandahimba","Tandahimba","Mtwara",2012-06-25,3
"tandahimba_tandahimba_tandahimba","Tandahimba","Tandahimba","Mtwara",2012-06-25,7
"kilwa_chumo_namayuni","Chumo","Kilwa","Lindi",2012-06-26,5
"kilwa_kikole_kisangi","Kikole","Kilwa","Lindi",2012-06-26,8
"kilwa_kinjumbi_pungutini","Kinjumbi","Kilwa","Lindi",2012-06-26,42
"kilwa_kipatimu_darajani","Kipatimu","Kilwa","Lindi",2012-06-26,11
"kilwa_kiranjeranje_makangaga","Kiranjeranje","Kilwa","Lindi",2012-06-26,77
"kilwa_lihimalyao_lihimalyaokaskazini","Lihimalyao","Kilwa","Lindi",2012-06-26,4
"kilwa_mandawa_mavuji","Mandawa","Kilwa","Lindi",2012-06-26,32
"kilwa_masoko_kisangi","Masoko","Kilwa","Lindi",2012-06-26,6
"kilwa_pandemikoma_songomnara","Pande Mikoma","Kilwa","Lindi",2012-06-26,10
"kilwa_tingi_tingi","Tingi","Kilwa","Lindi",2012-06-26,25
"lindirural_kilangala_kilangalaa","Kilangala","Lindi Rural","Lindi",2012-06-26,7
"lindirural_kilangala_kilangalab","Kilangala","Lindi Rural","Lindi",2012-06-26,22
"lindirural_kitomanga_kitomanga","Kitomanga","Lindi Rural","Lindi",2012-06-26,16
"lindirural_kiwalala_mahumbika","Kiwalala","Lindi Rural","Lindi",2012-06-26,24
"lindirural_longa_longa","Longa","Lindi Rural","Lindi",2012-06-26,29
"lindirural_majengo_majengoa","Majengo","Lindi Rural","Lindi",2012-06-26,12
"lindirural_majengo_masasi","Majengo","Lindi Rural","Lindi",2012-06-26,5
"lindirural_majengo_nangaka","Majengo","Lindi Rural","Lindi",2012-06-26,2
"lindirural_mnara_ntene","Mnara","Lindi Rural","Lindi",2012-06-26,21
"lindirural_mnolela_mbuta","Mnolela","Lindi Rural","Lindi",2012-06-26,4
"lindirural_mtama_makonde","Mtama","Lindi Rural","Lindi",2012-06-26,4
"lindirural_mtama_mihogoni","Mtama","Lindi Rural","Lindi",2012-06-26,4
"lindirural_mtama_mpenda","Mtama","Lindi Rural","Lindi",2012-06-26,11
"lindirural_mtama_mvuleni","Mtama","Lindi Rural","Lindi",2012-06-26,6
"lindirural_mtua_kilimahewaa","Mtua","Lindi Rural","Lindi",2012-06-26,34
"lindirural_navanga_nampunga","Navanga","Lindi Rural","Lindi",2012-06-26,14
"lindirural_rutamba_rutambayasasa","Rutamba","Lindi Rural","Lindi",2012-06-26,44
"lindirural_sudi_sudi","Sudi","Lindi Rural","Lindi",2012-06-26,34
"lindiurban_jamhuri_mitumbati","Jamhuri","Lindi Urban","Lindi",2012-06-26,11
"lindiurban_makonde_amani","Makonde","Lindi Urban","Lindi",2012-06-26,12
"lindiurban_mbanja_mbanja","Mbanja","Lindi Urban","Lindi",2012-06-26,3
"lindiurban_mingoyo_ruaha","Mingoyo","Lindi Urban","Lindi",2012-06-26,23
"lindiurban_msinjahili_nachingwea","Msinjahili","Lindi Urban","Lindi",2012-06-26,9
"lindiurban_mtanda_mukule","Mtanda","Lindi Urban","Lindi",2012-06-26,28
"lindiurban_mtanda_nanembo","Mtanda","Lindi Urban","Lindi",2012-06-26,28
"lindiurban_ngapa_mbuyuni","Ng'apa","Lindi Urban","Lindi",2012-06-26,49
"lindiurban_rasbura_likotwa","Rasbura","Lindi Urban","Lindi",2012-06-26,35
"liwale_mangirikiti_ngorongopa","Mangirikiti","Liwale","Lindi",2012-06-26,9
"liwale_mirui_kipelele","Mirui","Liwale","Lindi",2012-06-26,5
"nachingwea_kilimarondo_namatunu","Kilima Rondo","Nachingwea","Lindi",2012-06-26,31
"nachingwea_marambo_rupota","Marambo","Nachingwea","Lindi",2012-06-26,30
"nachingwea_matekwe_majonanga","Matekwe","Nachingwea","Lindi",2012-06-26,31
"nachingwea_mbondo_chimbendenga","Mbondo","Nachingwea","Lindi",2012-06-26,20
"nachingwea_mbondo_mbondo","Mbondo","Nachingwea","Lindi",2012-06-26,45
"nachingwea_mbondo_nahimba","Mbondo","Nachingwea","Lindi",2012-06-26,10
"nachingwea_mbondo_nakalonji","Mbondo","Nachingwea","Lindi",2012-06-26,3
"nachingwea_mkoka_nandile","Mkoka","Nachingwea","Lindi",2012-06-26,13
"nachingwea_naipingo_kihuwe","Naipingo","Nachingwea","Lindi",2012-06-26,19
"nachingwea_naipingo_mchangani","Naipingo","Nachingwea","Lindi",2012-06-26,60
"nachingwea_namikango_namikangoa","Namikango","Nachingwea","Lindi",2012-06-26,22
"nachingwea_namikango_namikangob","Namikango","Nachingwea","Lindi",2012-06-26,9
"nachingwea_namikango_nangunde","Namikango","Nachingwea","Lindi",2012-06-26,67
"nachingwea_ruponda_mandawa","Ruponda","Nachingwea","Lindi",2012-06-26,35
"nachingwea_ruponda_mibondo","Ruponda","Nachingwea","Lindi",2012-06-26,8
"nachingwea_ruponda_mwananyamala","Ruponda","Nachingwea","Lindi",2012-06-26,58
"nachingwea_ruponda_ruponda","Ruponda","Nachingwea","Lindi",2012-06-26,52
"nachingwea_stesheni_chemchem","Stesheni","Nachingwea","Lindi",2012-06-26,15
"ruangwa_chienjele_ngimbwa","Chienjele","Ruangwa","Lindi",2012-06-26,7
"ruangwa_chinongwe_likwachu","Chinongwe","Ruangwa","Lindi",2012-06-26,28
"ruangwa_chinongwe_litama","Chinongwe","Ruangwa","Lindi",2012-06-26,13
"ruangwa_likunja_likunja","Likunja","Ruangwa","Lindi",2012-06-26,8
"ruangwa_luchelegwa_nandanga","Luchelegwa","Ruangwa","Lindi",2012-06-26,12
"ruangwa_makanjiro_makanjiro","Makanjiro","Ruangwa","Lindi",2012-06-26,12
"ruangwa_malolo_nangumbua","Malolo","Ruangwa","Lindi",2012-06-26,19
"ruangwa_mandarawe_nandenje","Mandarawe","Ruangwa","Lindi",2012-06-26,16
"ruangwa_mandawa_mchichili","Mandawa","Ruangwa","Lindi",2012-06-26,9
"ruangwa_nanganga_mtakuja","Nanganga","Ruangwa","Lindi",2012-06-26,27
"ruangwa_nanganga_nanganga","Nanganga","Ruangwa","Lindi",2012-06-26,15
"ruangwa_narungombe_liuguru","Narung'ombe","Ruangwa","Lindi",2012-06-26,17
"ruangwa_ruangwa_likangara","Ruangwa","Ruangwa","Lindi",2012-06-26,7
"ruangwa_ruangwa_mchangani","Ruangwa","Ruangwa","Lindi",2012-06-26,13
"masasi_chigugu_mbuyuni","Chigugu","Masasi","Mtwara",2012-06-26,88
"masasitownshipauthority_mkuti_mtaawamkutikati","Mkuti","Masasi Township Authority","Mtwara",2012-06-26,85
"nanyumbu_masuguru_lukula","Masuguru","Nanyumbu","Mtwara",2012-06-26,72
"nanyumbu_masuguru_masuguru","Masuguru","Nanyumbu","Mtwara",2012-06-26,20
"nanyumbu_nanyumbu_nanyumbu","Nanyumbu","Nanyumbu","Mtwara",2012-06-26,3
"tandahimba_chingungwe_chikunda","Chingungwe","Tandahimba","Mtwara",2012-06-26,17
"tandahimba_dinduma_nanyuwila","Dinduma","Tandahimba","Mtwara",2012-06-26,6
"tandahimba_luagala_michinji","Luagala","Tandahimba","Mtwara",2012-06-26,14
"tandahimba_luagala_mkolachini","Luagala","Tandahimba","Mtwara",2012-06-26,38
"tandahimba_maundo_maundo","Maundo","Tandahimba","Mtwara",2012-06-26,7
"tandahimba_michenjele_bandari","Mihenjele","Tandahimba","Mtwara",2012-06-26,2
"tandahimba_milingodi_namkomolela","Milingodi","Tandahimba","Mtwara",2012-06-26,7
"tandahimba_namikupa_namikupa","Namikupa","Tandahimba","Mtwara",2012-06-26,18
"tandahimba_naputa_mwangazasokoni","Naputa","Tandahimba","Mtwara",2012-06-26,28
"tandahimba_naputa_namdwani","Naputa","Tandahimba","Mtwara",2012-06-26,6
"tandahimba_tandahimba_matogoro","Tandahimba","Tandahimba","Mtwara",2012-06-26,13
"kilwa_kinjumbi_somangasimu","Kinjumbi","Kilwa","Lindi",2012-06-27,62
"kilwa_kiranjeranje_kiranjeranje","Kiranjeranje","Kilwa","Lindi",2012-06-27,95
"kilwa_kivinjesingino_nangurukuru","Kivinjesingino","Kilwa","Lindi",2012-06-27,13
"kilwa_kivinjesingino_singino","Kivinjesingino","Kilwa","Lindi",2012-06-27,11
"kilwa_lihimalyao_lihmalyokusini","Lihimalyao","Kilwa","Lindi",2012-06-27,5
"kilwa_mandawa_mchakama","Mandawa","Kilwa","Lindi",2012-06-27,26
"kilwa_miguruwe_nakingombe","Miguruwe","Kilwa","Lindi",2012-06-27,9
"kilwa_mingumbi_kililima","Mingumbi","Kilwa","Lindi",2012-06-27,2
"kilwa_nanjirinji_nanjia","Nanjirinji","Kilwa","Lindi",2012-06-27,19
"kilwa_tingi_njianne","Tingi","Kilwa","Lindi",2012-06-27,8
"lindirural_kilangala_mtumbikile","Kilangala","Lindi Rural","Lindi",2012-06-27,22
"lindirural_majengo_majengob","Majengo","Lindi Rural","Lindi",2012-06-27,10
"lindirural_majengo_masasi","Majengo","Lindi Rural","Lindi",2012-06-27,9
"lindirural_majengo_mbalala","Majengo","Lindi Rural","Lindi",2012-06-27,9
"lindirural_majengo_mkwajuni","Majengo","Lindi Rural","Lindi",2012-06-27,2
"lindirural_milola_legezamwendo","Milola","Lindi Rural","Lindi",2012-06-27,11
"lindirural_mipingo_namkongo","Mipingo","Lindi Rural","Lindi",2012-06-27,2
"lindirural_mnara_mnara","Mnara","Lindi Rural","Lindi",2012-06-27,37
"lindirural_mnolela_simana","Mnolela","Lindi Rural","Lindi",2012-06-27,24
"lindirural_nahukahuka_linoha","Nahukahuka","Lindi Rural","Lindi",2012-06-27,14
"lindirural_navanga_shuka","Navanga","Lindi Rural","Lindi",2012-06-27,8
"lindirural_nyangamara_nyangamaraa","Nyangamara","Lindi Rural","Lindi",2012-06-27,32
"lindirural_nyangamara_nyangamarab","Nyangamara","Lindi Rural","Lindi",2012-06-27,5
"lindirural_nyangao_nyangaob","Nyangao","Lindi Rural","Lindi",2012-06-27,22
"lindirural_nyengedi_nyengedib","Nyengedi","Lindi Rural","Lindi",2012-06-27,22
"lindirural_rutamba_chilala","Rutamba","Lindi Rural","Lindi",2012-06-27,30
"lindirural_sudi_madangwa","Sudi","Lindi Rural","Lindi",2012-06-27,24
"lindiurban_mbanja_mbanja","Mbanja","Lindi Urban","Lindi",2012-06-27,6
"lindiurban_msinjahili_kitunda","Msinjahili","Lindi Urban","Lindi",2012-06-27,3
"lindiurban_mtanda_mukule","Mtanda","Lindi Urban","Lindi",2012-06-27,2
"lindiurban_ngapa_ngapangapa","Ng'apa","Lindi Urban","Lindi",2012-06-27,26
"lindiurban_rasbura_mmongo","Rasbura","Lindi Urban","Lindi",2012-06-27,15
"liwale_barikiwa_barikiwa","Barikiwa","Liwale","Lindi",2012-06-27,17
"liwale_barikiwa_ndunyungu","Barikiwa","Liwale","Lindi",2012-06-27,4
"nachingwea_kilimarondo_nanjihi","Kilima Rondo","Nachingwea","Lindi",2012-06-27,6
"nachingwea_mkoka_narungombe","Mkoka","Nachingwea","Lindi",2012-06-27,31
"nachingwea_mtua_nammanga","Mtua","Nachingwea","Lindi",2012-06-27,66
"nachingwea_naipanga_chiumbatishuleni","Naipanga","Nachingwea","Lindi",2012-06-27,25
"nachingwea_naipanga_chiwindi","Naipanga","Nachingwea","Lindi",2012-06-27,19
"nachingwea_naipanga_naipanga","Naipanga","Nachingwea","Lindi",2012-06-27,18
"nachingwea_naipanga_rahaleo","Naipanga","Nachingwea","Lindi",2012-06-27,18
"nachingwea_naipingo_mchonda","Naipingo","Nachingwea","Lindi",2012-06-27,54
"nachingwea_naipingo_namatumbusi","Naipingo","Nachingwea","Lindi",2012-06-27,57
"nachingwea_ndomoni_ndomoni","Ndomoni","Nachingwea","Lindi",2012-06-27,17
"ruangwa_chibula_chibula","Chibula","Ruangwa","Lindi",2012-06-27,10
"ruangwa_chienjele_njiechele","Chienjele","Ruangwa","Lindi",2012-06-27,35
"ruangwa_likunja_mtimboruangwa","Likunja","Ruangwa","Lindi",2012-06-27,21
"ruangwa_luchelegwa_ipingo","Luchelegwa","Ruangwa","Lindi",2012-06-27,9
"ruangwa_makanjiro_chikoko","Makanjiro","Ruangwa","Lindi",2012-06-27,9
"ruangwa_malolo_mchengaa","Malolo","Ruangwa","Lindi",2012-06-27,22
"ruangwa_malolo_mtawilile","Malolo","Ruangwa","Lindi",2012-06-27,2
"ruangwa_mandarawe_nachinyimba","Mandarawe","Ruangwa","Lindi",2012-06-27,11
"ruangwa_mandawa_nahanga","Mandawa","Ruangwa","Lindi",2012-06-27,13
"ruangwa_nambilanje_mkaranga","Nambilanje","Ruangwa","Lindi",2012-06-27,21
"masasi_mkululu_mkululu","Mkululu","Masasi","Mtwara",2012-06-27,148
"masasitownshipauthority_mtandi_mtandia","Mtandi","Masasi Township Authority","Mtwara",2012-06-27,120
"mtwararural_dihimba_dihimba","Dihimba","Mtwara Rural","Mtwara",2012-06-27,9
"mtwararural_dihimba_mpondomo","Dihimba","Mtwara Rural","Mtwara",2012-06-27,4
"mtwararural_kiromba_kiromba","Kiromba","Mtwara Rural","Mtwara",2012-06-27,8
"mtwararural_kiromba_misufini","Kiromba","Mtwara Rural","Mtwara",2012-06-27,1
"mtwararural_mahurunga_kihimika","Mahurunga","Mtwara Rural","Mtwara",2012-06-27,6
"mtwararural_mahurunga_kitunguli","Mahurunga","Mtwara Rural","Mtwara",2012-06-27,5
"mtwararural_mahurunga_mahurunga","Mahurunga","Mtwara Rural","Mtwara",2012-06-27,13
"mtwararural_mbawala_mailikumi","Mbawala","Mtwara Rural","Mtwara",2012-06-27,3
"mtwararural_mbawala_mbawala","Mbawala","Mtwara Rural","Mtwara",2012-06-27,12
"mtwararural_mbawala_mduwi","Mbawala","Mtwara Rural","Mtwara",2012-06-27,1
"mtwararural_mbawala_nachenjele","Mbawala","Mtwara Rural","Mtwara",2012-06-27,2
"mtwararural_mbembaleo_mwamko","Mbembaleo","Mtwara Rural","Mtwara",2012-06-27,6
"mtwararural_mbembaleo_mwanganga","Mbembaleo","Mtwara Rural","Mtwara",2012-06-27,8
"mtwararural_mnima_lipwidi","Mnima","Mtwara Rural","Mtwara",2012-06-27,9
"mtwararural_mnima_mangopachanne","Mnima","Mtwara Rural","Mtwara",2012-06-27,5
"mtwararural_nanyamba_chikaya","Nanyamba","Mtwara Rural","Mtwara",2012-06-27,2
"mtwararural_nanyamba_namkuku","Nanyamba","Mtwara Rural","Mtwara",2012-06-27,16
"mtwararural_ndumbwe_changalawe","Ndumbwe","Mtwara Rural","Mtwara",2012-06-27,1
"mtwararural_ndumbwe_ndumbwe","Ndumbwe","Mtwara Rural","Mtwara",2012-06-27,22
"mtwararural_njengwa_majengo","Njengwa","Mtwara Rural","Mtwara",2012-06-27,17
"mtwararural_tangazo_kilambo","Tangazo","Mtwara Rural","Mtwara",2012-06-27,4
"mtwararural_tangazo_mnaida","Tangazo","Mtwara Rural","Mtwara",2012-06-27,3
"mtwararural_tangazo_tangazo","Tangazo","Mtwara Rural","Mtwara",2012-06-27,3
"mtwararural_ziwani_msakala","Ziwani","Mtwara Rural","Mtwara",2012-06-27,21
"mtwararural_ziwani_nambeleketela","Ziwani","Mtwara Rural","Mtwara",2012-06-27,1
"nanyumbu_mikangaula_nahimba","Mikangaula","Nanyumbu","Mtwara",2012-06-27,11
"nanyumbu_mikangaula_nangaramo","Mikangaula","Nanyumbu","Mtwara",2012-06-27,8
"tandahimba_chingungwe_chingungwe","Chingungwe","Tandahimba","Mtwara",2012-06-27,10
"tandahimba_dinduma_dindumabarabarani","Dinduma","Tandahimba","Mtwara",2012-06-27,3
"tandahimba_litehu_mabeti","Litehu","Tandahimba","Mtwara",2012-06-27,24
"tandahimba_litehu_mmeda","Litehu","Tandahimba","Mtwara",2012-06-27,10
"tandahimba_luagala_luagala","Luagala","Tandahimba","Mtwara",2012-06-27,39
"tandahimba_mahuta_mkulungulu","Mahuta","Tandahimba","Mtwara",2012-06-27,19
"tandahimba_maundo_chiumo","Maundo","Tandahimba","Mtwara",2012-06-27,9
"tandahimba_naputa_mwangazashuleni","Naputa","Tandahimba","Mtwara",2012-06-27,3
"tandahimba_tandahimba_madaba","Tandahimba","Tandahimba","Mtwara",2012-06-27,14
"lindirural_kilangala_mnimbila","Kilangala","Lindi Rural","Lindi",2012-06-28,6
"lindirural_kilolambwani_mvulenia","Kilolambwani","Lindi Rural","Lindi",2012-06-28,11
"lindirural_kiwalala_mpembe","Kiwalala","Lindi Rural","Lindi",2012-06-28,13
"lindirural_kiwawa_kiwawa","Kiwawa","Lindi Rural","Lindi",2012-06-28,20
"lindirural_mandwanga_malungo","Mandwanga","Lindi Rural","Lindi",2012-06-28,25
"lindirural_mipingo_mnyangara","Mipingo","Lindi Rural","Lindi",2012-06-28,8
"lindirural_mnolela_namunda","Mnolela","Lindi Rural","Lindi",2012-06-28,28
"lindirural_nahukahuka_nahukahuka","Nahukahuka","Lindi Rural","Lindi",2012-06-28,31
"lindirural_namangale_chiwelele","Namangale","Lindi Rural","Lindi",2012-06-28,17
"lindirural_namangale_namangale","Namangale","Lindi Rural","Lindi",2012-06-28,20
"lindirural_navanga_mongomongo","Navanga","Lindi Rural","Lindi",2012-06-28,12
"lindirural_nyangamara_liputi","Nyangamara","Lindi Rural","Lindi",2012-06-28,21
"lindirural_nyangamara_madingo","Nyangamara","Lindi Rural","Lindi",2012-06-28,19
"lindirural_nyangao_mtakujaii","Nyangao","Lindi Rural","Lindi",2012-06-28,17
"lindirural_pangatena_hingawali","Pangatena","Lindi Rural","Lindi",2012-06-28,27
"lindiurban_jamhuri_tankini","Jamhuri","Lindi Urban","Lindi",2012-06-28,32
"lindiurban_mbanja_kikwetu","Mbanja","Lindi Urban","Lindi",2012-06-28,20
"lindiurban_mingoyo_mnazimmoja","Mingoyo","Lindi Urban","Lindi",2012-06-28,19
"lindiurban_msinjahili_kitumbikwela","Msinjahili","Lindi Urban","Lindi",2012-06-28,7
"lindiurban_mtanda_mchochoro","Mtanda","Lindi Urban","Lindi",2012-06-28,38
"lindiurban_ngapa_ngapangapa","Ng'apa","Lindi Urban","Lindi",2012-06-28,10
"lindiurban_rasbura_mitwero","Rasbura","Lindi Urban","Lindi",2012-06-28,7
"nachingwea_kiegei_kiegeia","Kiegei","Nachingwea","Lindi",2012-06-28,8
"nachingwea_marambo_litula","Marambo","Nachingwea","Lindi",2012-06-28,6
"nachingwea_marambo_mituguru","Marambo","Nachingwea","Lindi",2012-06-28,44
"nachingwea_mkoka_rweje","Mkoka","Nachingwea","Lindi",2012-06-28,16
"nachingwea_mneromiembeni_mkonjela","Mneromiembeni","Nachingwea","Lindi",2012-06-28,18
"nachingwea_mneromiembeni_mneromiembeni","Mneromiembeni","Nachingwea","Lindi",2012-06-28,9
"nachingwea_mneromiembeni_namkula","Mneromiembeni","Nachingwea","Lindi",2012-06-28,19
"nachingwea_mneromiembeni_ntila","Mneromiembeni","Nachingwea","Lindi",2012-06-28,41
"nachingwea_mpiruka_libea","Mpiruka","Nachingwea","Lindi",2012-06-28,4
"nachingwea_mpiruka_mkumba","Mpiruka","Nachingwea","Lindi",2012-06-28,69
"nachingwea_mpiruka_mpiruka","Mpiruka","Nachingwea","Lindi",2012-06-28,72
"nachingwea_naipingo_kwakamkamba","Naipingo","Nachingwea","Lindi",2012-06-28,48
"nachingwea_ndomoni_mkurupilo","Ndomoni","Nachingwea","Lindi",2012-06-28,14
"ruangwa_chibula_muhuru","Chibula","Ruangwa","Lindi",2012-06-28,3
"ruangwa_chibula_nachikalala","Chibula","Ruangwa","Lindi",2012-06-28,3
"ruangwa_makanjiro_chilangalile","Makanjiro","Ruangwa","Lindi",2012-06-28,5
"ruangwa_malolo_malolo","Malolo","Ruangwa","Lindi",2012-06-28,43
"ruangwa_mandawa_mandawachini","Mandawa","Ruangwa","Lindi",2012-06-28,11
"ruangwa_mnacho_chimbilaa","Mnacho","Ruangwa","Lindi",2012-06-28,22
"ruangwa_nambilanje_mtondo","Nambilanje","Ruangwa","Lindi",2012-06-28,9
"masasi_mkululu_mkundi","Mkululu","Masasi","Mtwara",2012-06-28,172
"masasitownshipauthority_mwengemtapika_mwengemtapika","Mwenge Mtapika","Masasi Township Authority","Mtwara",2012-06-28,68
"mtwararural_dihimba_manamawa","Dihimba","Mtwara Rural","Mtwara",2012-06-28,16
